#MLS_Theta	MLS_SecLevels	MaxMLSSecDiffVDem
3.0	5.0	4.0
1.0	5.0	4.0
2.0	5.0	4.0
1.0	5.0	4.0
3.0	5.0	4.0
2.0	17.0	16.0
2.0	5.0	4.0
3.0	17.0	16.0
1.0	5.0	4.0
1.0	5.0	4.0
1.0	17.0	15.0
1.0	5.0	4.0
1.0	17.0	16.0
2.0	5.0	4.0
1.0	17.0	16.0
3.0	5.0	4.0
3.0	17.0	16.0
3.0	5.0	4.0
1.0	5.0	4.0
3.0	17.0	16.0
3.0	5.0	4.0
3.0	5.0	4.0
3.0	5.0	4.0
1.0	5.0	4.0
3.0	17.0	16.0
3.0	5.0	4.0
2.0	17.0	16.0
2.0	17.0	16.0
2.0	17.0	16.0
2.0	5.0	4.0
1.0	5.0	4.0
3.0	17.0	16.0
1.0	5.0	4.0
2.0	5.0	4.0
3.0	5.0	4.0
2.0	5.0	4.0
2.0	5.0	4.0
2.0	5.0	4.0
2.0	17.0	16.0
1.0	17.0	16.0
3.0	5.0	4.0
2.0	5.0	4.0
1.0	5.0	4.0
2.0	5.0	4.0
3.0	5.0	4.0
2.0	17.0	16.0
2.0	5.0	4.0
3.0	17.0	16.0
1.0	17.0	15.0
1.0	5.0	4.0
2.0	5.0	4.0
3.0	5.0	4.0
