#MLS_Theta	MLS_SecLevels	Runtime
3.0	17.0	2813.0
2.0	17.0	2468.0
2.0	5.0	4469.0
2.0	17.0	3281.0
2.0	17.0	11484.0
1.0	17.0	2453.0
2.0	5.0	3703.0
3.0	5.0	7078.0
3.0	5.0	9093.0
3.0	17.0	3578.0
2.0	5.0	8578.0
3.0	5.0	3000.0
1.0	17.0	1812.0
1.0	5.0	10454.0
3.0	17.0	9531.0
2.0	5.0	2969.0
3.0	5.0	6562.0
2.0	17.0	11813.0
1.0	17.0	2672.0
1.0	5.0	3719.0
2.0	5.0	2547.0
1.0	5.0	3516.0
1.0	5.0	3516.0
1.0	5.0	11828.0
2.0	17.0	11344.0
2.0	17.0	2156.0
1.0	5.0	0.0
2.0	5.0	6594.0
2.0	5.0	14359.0
1.0	5.0	5125.0
3.0	5.0	2063.0
3.0	17.0	2421.0
2.0	5.0	4781.0
3.0	17.0	15750.0
3.0	5.0	6844.0
1.0	5.0	3500.0
2.0	5.0	9375.0
1.0	5.0	1406.0
1.0	5.0	2313.0
3.0	5.0	4219.0
1.0	17.0	5156.0
3.0	5.0	2953.0
3.0	5.0	2719.0
3.0	5.0	14921.0
2.0	5.0	2281.0
2.0	5.0	3500.0
1.0	17.0	16.0
1.0	5.0	2282.0
1.0	17.0	2484.0
1.0	5.0	3234.0
3.0	5.0	14141.0
3.0	5.0	12031.0
3.0	17.0	6594.0
2.0	5.0	8688.0
