?SNDlib native format; type: network; version: 1.0
# network sun

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 86.00 534.00 )
  N2 ( 67.00 405.00 )
  N3 ( 82.00 303.00 )
  N4 ( 127.00 197.00 )
  N5 ( 197.00 119.00 )
  N6 ( 262.00 82.00 )
  N7 ( 346.00 73.00 )
  N8 ( 398.00 69.00 )
  N9 ( 445.00 81.00 )
  N10 ( 526.00 95.00 )
  N11 ( 623.00 245.00 )
  N12 ( 455.00 202.00 )
  N13 ( 429.00 274.00 )
  N14 ( 329.00 239.00 )
  N15 ( 528.00 348.00 )
  N16 ( 388.00 464.00 )
  N17 ( 418.00 353.00 )
  N18 ( 278.00 327.00 )
  N19 ( 181.00 355.00 )
  N20 ( 144.00 485.00 )
  N21 ( 139.00 588.00 )
  N22 ( 233.00 627.00 )
  N23 ( 365.00 645.00 )
  N24 ( 355.00 544.00 )
  N25 ( 534.00 566.00 )
  N26 ( 597.00 450.00 )
  N27 ( 246.00 506.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( N1 N2 ) 0.00 0.00 0.00 0.00 ( 40.00 25.55 )
  L10 ( N6 N5 ) 0.00 0.00 0.00 0.00 ( 40.00 14.81 )
  L100 ( N13 N12 ) 0.00 0.00 0.00 0.00 ( 40.00 10.46 )
  L101 ( N24 N27 ) 0.00 0.00 0.00 0.00 ( 40.00 8.01 )
  L102 ( N27 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 8.01 )
  L11 ( N6 N7 ) 0.00 0.00 0.00 0.00 ( 40.00 6.92 )
  L12 ( N7 N6 ) 0.00 0.00 0.00 0.00 ( 40.00 6.92 )
  L13 ( N7 N8 ) 0.00 0.00 0.00 0.00 ( 40.00 33.44 )
  L14 ( N8 N7 ) 0.00 0.00 0.00 0.00 ( 40.00 33.44 )
  L15 ( N8 N9 ) 0.00 0.00 0.00 0.00 ( 40.00 9.50 )
  L16 ( N9 N8 ) 0.00 0.00 0.00 0.00 ( 40.00 9.50 )
  L17 ( N9 N10 ) 0.00 0.00 0.00 0.00 ( 40.00 17.80 )
  L18 ( N10 N9 ) 0.00 0.00 0.00 0.00 ( 40.00 17.80 )
  L19 ( N9 N12 ) 0.00 0.00 0.00 0.00 ( 40.00 16.30 )
  L2 ( N2 N1 ) 0.00 0.00 0.00 0.00 ( 40.00 25.55 )
  L20 ( N12 N9 ) 0.00 0.00 0.00 0.00 ( 40.00 16.30 )
  L21 ( N10 N12 ) 0.00 0.00 0.00 0.00 ( 40.00 4.88 )
  L22 ( N12 N10 ) 0.00 0.00 0.00 0.00 ( 40.00 4.88 )
  L23 ( N11 N12 ) 0.00 0.00 0.00 0.00 ( 40.00 10.18 )
  L24 ( N12 N11 ) 0.00 0.00 0.00 0.00 ( 40.00 10.18 )
  L25 ( N10 N11 ) 0.00 0.00 0.00 0.00 ( 40.00 5.83 )
  L26 ( N11 N10 ) 0.00 0.00 0.00 0.00 ( 40.00 5.83 )
  L27 ( N11 N26 ) 0.00 0.00 0.00 0.00 ( 40.00 11.00 )
  L28 ( N26 N11 ) 0.00 0.00 0.00 0.00 ( 40.00 11.00 )
  L29 ( N25 N26 ) 0.00 0.00 0.00 0.00 ( 40.00 2.43 )
  L3 ( N2 N3 ) 0.00 0.00 0.00 0.00 ( 40.00 18.34 )
  L30 ( N26 N25 ) 0.00 0.00 0.00 0.00 ( 40.00 2.43 )
  L31 ( N23 N25 ) 0.00 0.00 0.00 0.00 ( 40.00 17.12 )
  L32 ( N25 N23 ) 0.00 0.00 0.00 0.00 ( 40.00 17.12 )
  L33 ( N24 N25 ) 0.00 0.00 0.00 0.00 ( 40.00 15.08 )
  L34 ( N25 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 15.08 )
  L35 ( N23 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 4.20 )
  L36 ( N24 N23 ) 0.00 0.00 0.00 0.00 ( 40.00 4.20 )
  L37 ( N22 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 29.50 )
  L38 ( N24 N22 ) 0.00 0.00 0.00 0.00 ( 40.00 29.50 )
  L39 ( N23 N27 ) 0.00 0.00 0.00 0.00 ( 40.00 11.54 )
  L4 ( N3 N2 ) 0.00 0.00 0.00 0.00 ( 40.00 18.34 )
  L40 ( N27 N23 ) 0.00 0.00 0.00 0.00 ( 40.00 11.54 )
  L41 ( N22 N23 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L42 ( N23 N22 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L43 ( N21 N22 ) 0.00 0.00 0.00 0.00 ( 40.00 7.19 )
  L44 ( N22 N21 ) 0.00 0.00 0.00 0.00 ( 40.00 7.19 )
  L45 ( N1 N21 ) 0.00 0.00 0.00 0.00 ( 40.00 21.20 )
  L46 ( N21 N1 ) 0.00 0.00 0.00 0.00 ( 40.00 21.20 )
  L47 ( N20 N21 ) 0.00 0.00 0.00 0.00 ( 40.00 24.06 )
  L48 ( N21 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 24.06 )
  L49 ( N1 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 27.05 )
  L5 ( N3 N4 ) 0.00 0.00 0.00 0.00 ( 40.00 28.00 )
  L50 ( N20 N1 ) 0.00 0.00 0.00 0.00 ( 40.00 27.05 )
  L51 ( N20 N22 ) 0.00 0.00 0.00 0.00 ( 40.00 16.85 )
  L52 ( N22 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 16.85 )
  L53 ( N2 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 27.59 )
  L54 ( N20 N2 ) 0.00 0.00 0.00 0.00 ( 40.00 27.59 )
  L55 ( N20 N27 ) 0.00 0.00 0.00 0.00 ( 40.00 21.74 )
  L56 ( N27 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 21.74 )
  L57 ( N22 N27 ) 0.00 0.00 0.00 0.00 ( 40.00 29.36 )
  L58 ( N27 N22 ) 0.00 0.00 0.00 0.00 ( 40.00 29.36 )
  L59 ( N19 N20 ) 0.00 0.00 0.00 0.00 ( 40.00 26.23 )
  L6 ( N4 N3 ) 0.00 0.00 0.00 0.00 ( 40.00 28.00 )
  L60 ( N20 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 26.23 )
  L61 ( N19 N27 ) 0.00 0.00 0.00 0.00 ( 40.00 15.08 )
  L62 ( N27 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 15.08 )
  L63 ( N4 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 45.54 )
  L64 ( N19 N4 ) 0.00 0.00 0.00 0.00 ( 40.00 45.54 )
  L65 ( N18 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 14.26 )
  L66 ( N19 N18 ) 0.00 0.00 0.00 0.00 ( 40.00 14.26 )
  L67 ( N16 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 17.66 )
  L68 ( N19 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 17.66 )
