?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 283.00 248.00 )
  N2 ( 451.00 201.00 )
  N3 ( 516.00 230.00 )
  N4 ( 324.00 43.00 )
  N5 ( 459.00 31.00 )
  N6 ( 339.00 151.00 )
  N7 ( 185.00 323.00 )
  N8 ( 384.00 298.00 )
  N9 ( 318.00 353.00 )
  N10 ( 147.00 403.00 )
  N11 ( 56.00 132.00 )
  N12 ( 253.00 466.00 )
  N13 ( 216.00 59.00 )
  N14 ( 97.00 218.00 )
  N15 ( 463.00 431.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( N1 N6 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( N1 N7 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( N1 N8 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( N2 N3 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( N2 N5 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1790000.00 4000.00 1930000.00 )
  L6 ( N2 N6 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( N3 N5 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( N3 N8 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( N4 N5 ) 0.00 0.00 67.80 0.00 ( 1000.00 1295000.00 4000.00 1435000.00 )
  L10 ( N4 N6 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1925000.00 4000.00 2065000.00 )
  L11 ( N6 N13 ) 2000.00 0.00 67.80 0.00 ( 1000.00 3200000.00 4000.00 3340000.00 )
  L12 ( N7 N10 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1145000.00 4000.00 1285000.00 )
  L13 ( N7 N14 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1445000.00 4000.00 1585000.00 )
  L14 ( N8 N9 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1115000.00 4000.00 1255000.00 )
  L15 ( N8 N15 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1190000.00 4000.00 1330000.00 )
  L16 ( N9 N10 ) 2000.00 0.00 67.80 0.00 ( 1000.00 935000.00 4000.00 1075000.00 )
  L17 ( N9 N12 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1130000.00 4000.00 1270000.00 )
  L18 ( N9 N15 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1070000.00 4000.00 1210000.00 )
  L19 ( N10 N12 ) 0.00 0.00 67.80 0.00 ( 1000.00 1505000.00 4000.00 1645000.00 )
  L20 ( N11 N13 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1085000.00 4000.00 1225000.00 )
  L21 ( N11 N14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1700000.00 4000.00 1840000.00 )
  L22 ( N13 N14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 830000.00 4000.00 970000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( N1 N2 ) 1 5981.00 UNLIMITED
  D2 ( N1 N3 ) 1 816.00 UNLIMITED
  D3 ( N1 N4 ) 1 563.00 UNLIMITED
  D4 ( N1 N5 ) 1 431.00 UNLIMITED
  D5 ( N1 N6 ) 1 1592.00 UNLIMITED
  D6 ( N1 N7 ) 1 444.00 UNLIMITED
  D7 ( N1 N8 ) 1 576.00 UNLIMITED
  D8 ( N1 N9 ) 1 491.00 UNLIMITED
  D9 ( N1 N10 ) 1 563.00 UNLIMITED
  D10 ( N1 N11 ) 1 252.00 UNLIMITED
  D11 ( N1 N12 ) 1 695.00 UNLIMITED
  D12 ( N1 N13 ) 1 324.00 UNLIMITED
  D13 ( N1 N14 ) 1 1556.00 UNLIMITED
  D14 ( N1 N15 ) 1 695.00 UNLIMITED
  D15 ( N2 N1 ) 1 7132.00 UNLIMITED
  D16 ( N2 N3 ) 1 2644.00 UNLIMITED
  D17 ( N2 N4 ) 1 2239.00 UNLIMITED
  D18 ( N2 N5 ) 1 755.00 UNLIMITED
  D19 ( N2 N6 ) 1 6102.00 UNLIMITED
  D20 ( N2 N7 ) 1 1832.00 UNLIMITED
  D21 ( N2 N8 ) 1 4930.00 UNLIMITED
  D22 ( N2 N9 ) 1 253.00 UNLIMITED
  D23 ( N2 N10 ) 1 1952.00 UNLIMITED
  D24 ( N2 N11 ) 1 755.00 UNLIMITED
  D25 ( N2 N12 ) 1 1090.00 UNLIMITED
  D26 ( N2 N13 ) 1 563.00 UNLIMITED
  D27 ( N2 N14 ) 1 419.00 UNLIMITED
  D28 ( N2 N15 ) 1 1855.00 UNLIMITED
  D29 ( N3 N1 ) 1 977.00 UNLIMITED
  D30 ( N3 N2 ) 1 3151.00 UNLIMITED
  D31 ( N3 N4 ) 1 312.00 UNLIMITED
  D32 ( N3 N5 ) 1 240.00 UNLIMITED
  D33 ( N3 N6 ) 1 252.00 UNLIMITED
  D34 ( N3 N7 ) 1 38.00 UNLIMITED
  D35 ( N3 N8 ) 1 1149.00 UNLIMITED
  D36 ( N3 N9 ) 1 85.00 UNLIMITED
  D37 ( N3 N10 ) 1 97.00 UNLIMITED
  D38 ( N3 N11 ) 1 97.00 UNLIMITED
  D39 ( N3 N12 ) 1 145.00 UNLIMITED
  D40 ( N3 N13 ) 1 85.00 UNLIMITED
  D41 ( N3 N14 ) 1 37.00 UNLIMITED
  D42 ( N3 N15 ) 1 431.00 UNLIMITED
  D43 ( N4 N1 ) 1 678.00 UNLIMITED
  D44 ( N4 N2 ) 1 2675.00 UNLIMITED
  D45 ( N4 N3 ) 1 370.00 UNLIMITED
  D46 ( N4 N5 ) 1 982.00 UNLIMITED
  D47 ( N4 N6 ) 1 922.00 UNLIMITED
  D48 ( N4 N7 ) 1 72.00 UNLIMITED
  D49 ( N4 N8 ) 1 158.00 UNLIMITED
  D50 ( N4 N9 ) 1 72.00 UNLIMITED
  D51 ( N4 N10 ) 1 240.00 UNLIMITED
  D52 ( N4 N11 ) 1 145.00 UNLIMITED
  D53 ( N4 N12 ) 1 145.00 UNLIMITED
  D54 ( N4 N13 ) 1 1521.00 UNLIMITED
  D55 ( N4 N14 ) 1 157.00 UNLIMITED
  D56 ( N4 N15 ) 1 192.00 UNLIMITED
  D57 ( N5 N1 ) 1 512.00 UNLIMITED
  D58 ( N5 N2 ) 1 905.00 UNLIMITED
  D59 ( N5 N3 ) 1 286.00 UNLIMITED
  D60 ( N5 N4 ) 1 1177.00 UNLIMITED
